3119	101	3	6.45
12	1054	13	45.53
137	685	3	17.04
1792	1695	5	78.27
156	840	3	20.15
861	105	3	5.22
109	4365	3	20.34
3810	14	3	9.54
214	119	5	13.74
2741	12	3	6.69
6346	102	3	16.3
135	191	3	7.1
115	2037	3	17.03
4338	12	3	10.2
111	215	5	8.54
941	105	13	64.53
1640	14	8	27.29
102	483	5	4.8
101	2179	7	22.91
286	105	11	23.98
103	846	4	7.13
3412	112	4	28.43
101	2382	3	4.76
1379	12	4	5.85
16	151	5	10.09
2263	104	6	28.8
105	1479	3	7.72
2693	12	3	6.69
854	12	5	5.79
101	892	7	10.67
2564	102	3	8.36
126	468	6	32.23
110	376	3	6.12
5026	102	3	14.14
4389	12	3	10.2
836	136	3	18.03
101	1730	4	6.35
4376	102	6	41.48
2533	102	3	8.36
440	102	7	9.54
974	105	3	5.77
5152	14	3	12.19
193	197	7	44.21
281	114	3	5.58
1669	14	3	4.16
102	1200	6	16.72
157	107	13	18.44
12	749	13	35.8
1159	109	3	11.14
1658	103	3	6.89
2399	14	3	6.57
3517	14	4	14.26
117	405	4	14.06
148	320	4	21.19
732	112	3	9.58
239	119	6	20.62
102	7517	3	20.74
324	130	4	17.31
7890	114	3	30.67
4372	14	3	10.69
142	116	52	247.82
2313	105	3	10.53
5011	103	3	15.38
101	3334	3	7.21
2035	101	3	3.95
12	7013	3	13.82
101	3198	3	6.45
554	12	6	4.94
130	538	3	14.01
2807	760	3	40.9
12	2139	3	5.16
218	347	11	105.61
109	1104	6	30.55
101	1984	3	3.95
1311	113	3	13.36
109	903	5	21.44
959	104	27	203.3
3521	102	4	16.82
732	3698	3	43.37
301	104	6	6.01
797	9	5	21.91
657	117	14	99.6
115	636	3	10.23
101	789	5	3.88
197	2272	8	101.48
109	1874	3	13.8
6404	102	3	16.3
373	124	5	22.54
108	1008	6	27.97
101	705	6	5.48
4318	1073	3	46.75
2426	3279	3	49.93
8	1094	3	11.81
118	1772	3	17.41
181	302	4	25.44
850	103	3	3.9
145	150	20	111.08
101	333	32	91.51
139	391	3	14.52
522	105	4	5.75
131	106	54	99.39
201	121	11	46.15
109	1209	4	17.6
102	2517	3	8.36
640	105	3	3.93
863	14	5	6.45
103	590	5	7.94
6648	124	3	29.85
556	120	3	11.63
2326	102	3	7.82
12	1180	8	20.35
106	345	5	6.69
137	299	4	18.75
123	937	3	15.18
1111	117	8	54.92
3205	9	3	19.04
102	1896	6	21.87
104	106	170	49.22
208	790	3	23.93
270	14	10	6.74
129	10	4	15.97
101	1475	5	8.41
147	128	27	135.23
3131	14	3	7.83
892	14	4	3.97
102	3238	3	10.47
134	171	3	5.84
1857	101	5	10.75
101	1296	4	4.48
12	4974	3	11.69
112	3615	4	29.94
229	111	6	12.68
2725	105	3	11.73
698	174	4	31.18
125	1517	8	67.23
1045	14	5	8.02
101	3963	4	13.73
367	1856	4	48.13
104	2721	4	16.92
106	599	3	3.99
1959	12	3	4.75
2752	110	4	25.87
1819	110	3	14.6
274	102	16	31.46
117	913	6	35.09
143	332	5	28.45
2242	12	3	5.61
4205	104	4	22.56
143	132	5	9.15
101	2740	3	5.81
1352	102	5	13.03
1792	294	8	106.91
128	243	3	8.7
2634	2619	10	220.62
389	105	5	7.05
3316	14	3	8.61
2743	101	4	10.18
323	463	3	25.27
408	101	19	40.19
464	114	3	8.22
1955	106	3	9.92
1074	14	6	11.64
101	2723	3	5.81
2260	14	3	6.06
4161	102	4	20.14
925	102	13	52.17
102	2174	3	7.33
126	860	5	30.73
101	488	16	32.42
116	634	3	10.62
8357	102	3	20.74
3234	12	7	36.59
1240	12	4	5.2
542	104	7	15.28
105	820	7	23.06
1876	102	6	21.87
122	3303	3	23.52
