41007	7377	4
12	5636	12
1775	5119	3
5117	4877	1
1061	9200	20
2079	3048	17
105	6253	2
211	3683	1
171	5182	22
129	2434	0
7362	443	1
28488	9453	7
144	1953	0
131	8292	3
11158	5293	14
16383	1274	30
121	2623	7
138	3934	8
731	1576	5
476	3022	8
465	1274	32
110	340	12
119	6405	15
124	920	11
14	2281	21
6270	9661	17
102	4557	1
8	7965	3
107	9592	4
40760	1410	3
150	308	29
33226	6753	11
17921	5895	8
3327	5893	8
123	1019	2
147	8233	2
195	9387	22
630	7431	3
57	2342	22
133	2954	3
23423	3567	5
146	6095	27
219	451	1
461	5532	19
102	8035	16
644	2647	3
288	2844	6
19831	3407	17
220	8233	8
1000	4263	11
114	9198	2
1557	8667	17
4095	4636	13
159	4668	15
4986	9128	2
103	4521	7
57	5315	15
7534	2414	2
452	2186	8
103	3597	8
14323	199	0
107	8752	16
154	5971	24
102	7588	16
155	671	4
2619	6416	22
454	6317	6
105	1159	11
36114	9409	14
5723	1381	14
312	2380	2
173	6999	27
105	1378	23
12	2020	30
172	991	6
104	7658	10
123	316	2
8	348	16
125	9269	6
6355	9956	20
133	3267	3
5165	5105	12
600	8775	2
105	6721	26
2716	2711	13
201	3674	0
385	9813	0
7805	8736	1
136	6712	5
14	2757	13
987	8993	9
40488	4134	19
384	113	11
312	1442	17
14	4493	28
14	7522	27
105	8142	14
112	5802	9
4951	3748	7
3689	3238	2
3764	6824	1
12	1314	10
12	8079	7
111	4121	0
17912	7473	7
17	9558	19
112	4678	23
22124	9179	27
21769	9928	12
182	1121	16
179	4836	5
1144	2312	5
194	4365	13
135	8220	11
101	8966	1
342	8270	9
126	7774	6
1931	2171	8
1020	7932	0
34806	3445	6
110	5209	20
2020	8314	10
25268	9127	20
8107	5405	5
134	6947	31
103	9618	16
117	1845	4
110	3303	3
106	171	29
21844	20	24
12	9499	21
104	5009	21
41818	6680	17
1801	5285	5
162	6252	17
33895	6415	21
2863	4291	0
101	7772	17
103	7408	4
21710	4205	11
747	6810	19
14	3551	21
9803	7653	12
389	9606	9
345	1620	9
229	8425	0
302	7211	3
403	132	10
16522	8871	10
6959	6818	28
286	8397	4
12	6512	3
839	1451	11
9602	9766	7
921	7148	1
22463	1055	3
8	6627	19
119	1113	2
3174	2478	5
131	1471	6
42644	996	3
1615	1302	9
1704	2820	31
3913	141	12
258	5697	3
59	348	11
114	5367	9
1539	2616	9
14	6132	14
101	604	20
134	8994	1
102	4348	7
43767	7105	12
127	7919	14
12	9143	9
12	7871	21
116	956	8
816	1173	5
139	7971	22
122	7079	5
9927	9377	4
33299	6221	1
103	8923	16
106	7503	16
41988	956	2
159	4265	3
10274	7217	7
446	9709	3
881	9582	0
246	236	6
255	5495	13
9246	9047	10
1960	121	1
103	4248	1
887	6364	8
156	3262	36
14	1214	18
938	800	21
315	9768	14
226	3406	3
372	9738	19
105	8274	10
3255	5311	13
688	7568	3
6278	1270	22
2374	2930	10
129	2362	0
106	9061	16
12265	923	37
9	3240	13
655	4845	0
104	7387	12
104	3415	4
108	8293	12
101	7863	9
14	6698	32
30978	1999	12
116	4600	16
130	9272	1
9399	7973	2
31786	8109	0
408	7467	1
14397	3854	8
886	1529	1
106	7459	10
20691	4748	4
16602	1448	0
2013	7530	12
109	7404	10
13611	3093	23
102	8567	6
107	9664	4
29937	7965	0
8	8101	3
104	758	5
102	3094	14
44082	3689	1
480	7527	2
14	484	39
1211	435	3
2339	5179	5
14	7643	15
120	5641	8
684	9193	3
3368	132	14
20562	8514	14
2160	3302	22
181	5310	3
16	6507	1
126	7621	14
126	166	1
39009	210	13
41368	589	16
137	3503	2
101	1757	4
531	676	19
1119	5037	15
7934	3414	14
104	9840	28
176	9605	6
939	2541	4
13494	4116	12
1816	5422	16
42169	4300	8
9	8257	23
1613	7930	14
122	9696	11
14	9977	25
29489	1432	36
726	5903	39
36202	5684	6
102	8688	4
25433	1147	13
705	7636	9
14309	196	0
101	9911	3
2717	2543	1
151	4424	23
57	4246	5
406	7500	0
115	8343	26
108	6818	6
8662	5983	1
452	6813	8
107	7331	4
10577	2686	23
12	7005	15
238	3473	6
22233	6806	1
102	3670	12
1465	717	4
1557	1826	8
20904	8874	6
14	6355	25
533	7111	21
4923	3104	4
4205	6613	5
103	1270	19
101	3451	3
105	8540	14
391	9415	3
17531	4360	20
8	1260	6
2126	9559	15
196	3453	4
162	1024	14
128	8469	24
3979	7920	0
2956	7250	0
28340	8342	5
12408	5092	4
619	340	20
16859	974	30
200	6815	6
12	1404	7
8356	3666	5
27807	4875	12
